constructorId,constructorRef,name,nationality,url,hexColor
52,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team),#04043B
53,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman,#0402C4
54,ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels),#EFB510
55,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing,#D3415C
56,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,#FFDF5A
57,ensign,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,#00B5F7
58,shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#010101
59,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,#FFCE1E
60,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario,#F7CF20
61,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen,#FFFF1C
62,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque,#4D2E1B
63,surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees,#A91B39
64,hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing,#B22F1B
65,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars),#C6600C
66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,#004225
67,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing,#F0DF1F
68,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One),#13233A
69,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),#2C3034
70,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One),#D40414
71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One),#CE8C21
72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering,#020301
73,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli,#C4342D
74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars),#185A08
75,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor),#D42E2A
76,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,#4E9880
